school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;Passed;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC6_1;FAC7_1
GP;F;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;5;6;6;       0;-,388578319965331;1,47885183772925;,399680335246366;,0924544594592494;-,114643686721158;-,669592944593683;,867880401718798
GP;F;17;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;4;5;5;6;       0;-,848895611055262;-1,6709768851056;,918803730769188;,0636830433094765;,108658626894585;-,318823943031446;-,550771796828359
GP;F;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;3;yes;no;yes;no;yes;yes;yes;no;4;3;2;2;3;3;10;7;8;10;       1;,0320455174069317;-1,73232822737134;-,445012013427195;-,148268337121063;,781269036840709;-,00743815739968363;-,589839968320379
GP;F;15;U;GT3;T;4;2;health;services;home;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;3;2;2;1;1;5;2;15;14;15;       1;-,899936224691182;,343967043919121;-1,35649914052917;1,17836852862727;-,286422673728758;1,12334475857588;-,487169847004498
GP;F;16;U;GT3;T;3;3;other;other;home;father;1;2;0;no;yes;yes;no;yes;yes;no;no;4;3;2;1;2;5;4;6;10;10;       1;-,73627249104551;,348291972157245;-,246657706701021;-,182545098778807;-,100817339069018;1,20934078892038;-,482837883190195
GP;M;16;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;4;2;1;2;5;10;15;15;15;       1;-,722868311429124;,804480009094135;1,11107061201408;-,367996559433697;,588356016682338;1,11069186905206;-,544222229933255
GP;M;16;U;LE3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0;12;12;11;       1;-,242442454435233;-,674962213233052;,639358099172635;-,122578334268896;-,892877161450249;-,732848948142801;-,945547344738662
GP;F;17;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;yes;yes;no;no;yes;yes;no;no;4;1;4;1;1;1;6;6;5;6;       0;-,679506464798558;1,54579994867961;-,457639753431165;,59196729651799;,382494543896325;-1,73170947557911;1,45551921912545
GP;M;15;U;LE3;A;3;2;services;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;2;2;1;1;1;0;16;18;19;       1;-1,22981656637409;-,118532018389869;-,619170232290121;,00370882884625006;-,250556040104939;-1,45843511603335;-,152651077801182
GP;M;15;U;GT3;T;3;4;other;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;5;1;1;1;5;0;14;15;15;       1;-1,29600398340023;,847209967946972;1,26455221808851;-,928158616845442;-,889603180897429;1,21779241155596;-,632353225137145
GP;F;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;1;2;2;0;10;8;9;       0;-,297409065852609;1,37195432710509;-,98167884133683;-,184748132369786;-,823892958600026;-1,08939898915826;-,513319112216548
GP;F;15;U;GT3;T;2;1;services;other;reputation;father;3;3;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;1;4;4;10;12;12;       1;-1,15425672686343;-,987014831377277;,58600055463045;1,32410621245277;,215547993759747;,512476309520262;2,50257758084317
GP;M;15;U;LE3;T;4;4;health;services;course;father;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;3;5;2;14;14;14;       1;-,210518210214273;1,39559022522428;-,197205386311694;-1,08592770508064;-,360419729449281;1,07992767814793;-,392889136298858
GP;M;15;U;GT3;T;4;3;teacher;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;5;4;3;1;2;3;2;10;10;11;       1;-,385825888800342;,923864928480873;1,32399647354066;-,206752191072215;-,462467049206083;-,484511087490846;,864931031248241
GP;M;15;U;GT3;A;2;2;other;other;home;other;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;5;2;1;1;3;0;14;16;16;       1;-,662669625668692;-,748045193390095;,649268267526463;,307715946967686;-1,04678340306032;-,46971776335762;-1,05848030214078
GP;F;16;U;GT3;T;4;4;health;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;4;4;1;2;2;4;14;14;14;       1;-,0891852778769135;1,36676950373135;,52609155575462;-1,30289257068402;-,412211609083341;-1,36150713668066;-,663819885495436
GP;F;16;U;GT3;T;4;4;services;services;reputation;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;3;2;3;1;2;2;6;13;14;14;       1;-,282685650883859;1,35868033341916;-1,31068320935902;1,19202288566577;,0745292001419203;-,935210280146714;-,31739590716825
GP;F;16;U;GT3;T;3;3;other;other;reputation;mother;3;2;0;yes;yes;no;yes;yes;yes;no;no;5;3;2;1;1;4;4;8;10;10;       1;-1,19486686867294;,555500173083372;,948453614216837;-,149501308664967;-,0845808519768036;,401567620720698;2,45791223903651
GP;M;17;U;GT3;T;3;2;services;services;course;mother;1;1;3;no;yes;no;yes;yes;yes;yes;no;5;5;5;2;4;5;16;6;5;5;       0;1,43184118886063;-,256348440539832;1,84961830476271;-1,0606752876987;1,06096083121944;,588333233168829;-1,06968497790848
GP;M;16;U;LE3;T;4;3;health;other;home;father;1;1;0;no;no;yes;yes;yes;yes;yes;no;3;1;3;1;3;5;4;8;10;10;       1;-,33459823047234;,917933873604725;-1,82835849547144;-,563426646421919;,216002893889375;1,19856376528194;-,167604809847225
GP;M;15;U;GT3;T;4;3;teacher;other;reputation;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;1;1;1;1;0;13;14;15;       1;-1,32191249973011;,830069942830123;-,00726401907701062;-,787481666937951;-,699649429478747;-1,54774788518752;-,469840929516327
GP;M;15;U;GT3;T;4;4;health;health;other;father;1;1;0;no;yes;yes;no;yes;yes;yes;no;5;4;2;1;1;5;0;12;15;15;       1;-1,22007831546548;1,41530718079374;1,06456021259655;-1,53199415509708;-,651557751067743;1,10327237941581;-,396600291467351
GP;M;16;U;LE3;T;4;2;teacher;other;course;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;4;5;1;1;3;5;2;15;15;16;       1;-,463150306776322;,233395579631088;,284740256282253;-,833362225307574;-,615978758653504;1,09005676530865;-,918712205800431
GP;M;16;U;LE3;T;2;2;other;other;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;2;4;5;0;13;13;12;       1;1,09485112705411;-,599952301082736;1,15560421844849;,159766533007001;-,67239934272452;,973624711663775;,690752217577532
GP;F;15;R;GT3;T;2;4;services;health;course;mother;1;3;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;5;2;10;9;8;       0;-,942718902770586;,375270154630084;-,187974968899405;,827713942553928;-,505675204329703;1,27449615286496;-,471960746025375
GP;F;16;U;GT3;T;2;2;services;services;home;mother;1;1;2;no;yes;yes;no;no;yes;yes;no;1;2;2;1;3;5;14;6;9;8;       0;-,295715212724017;-,723607532372541;-3,22704797883232;-1,25396388068899;,856766156646101;1,00249334771337;-,974552176761028
GP;M;15;U;GT3;T;2;2;other;other;home;mother;1;1;0;no;yes;yes;no;yes;yes;yes;no;4;2;2;1;2;5;2;12;12;11;       1;-1,01140167352446;-,608588007155671;-,694527769334486;-,979878710397905;-,0176566537582543;1,31595470527077;-,308088962093071
GP;M;15;U;GT3;T;4;2;health;services;other;mother;1;1;0;no;no;yes;no;yes;yes;yes;no;2;2;4;2;4;1;4;15;16;15;       1;1,02606885462748;,3360582865264;-2,33510841808797;-,748931840751443;-,0861828554145893;-1,81699007430782;-,544047430286133
GP;M;16;U;LE3;A;3;4;services;other;home;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5;4;11;11;11;       1;-,860874778668382;,915028885909065;,902558587610215;,0243524561731341;-,0729976566307585;1,11706461290336;-,309019463270288
GP;M;16;U;GT3;T;4;4;teacher;teacher;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;5;5;5;5;16;10;12;11;       1;3,20677725863456;1,33834665908418;,0256080838400578;,303889174329444;1,05317872011747;1,15633727083553;-,575091489282534
GP;M;15;U;GT3;T;4;4;health;services;home;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;5;4;2;3;4;5;0;9;11;12;       1;,808371089955621;1,3769981865865;,456418256744531;-,259288184806805;-,537750035006675;1,58565648192298;-,192622218739892
GP;M;15;U;GT3;T;4;4;services;services;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;1;1;1;5;0;17;16;17;       1;-1,42235019678666;1,49211155821136;-,276020705301264;-,422797708125561;-,668572260957647;1,27246522559351;1,08815070957694
GP;M;15;R;GT3;T;4;3;teacher;at_home;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;5;2;1;1;5;0;17;16;16;       1;-,791115474990796;,810867594751674;,672895618959588;-,739006556725821;-1,05409882755332;,825875931067215;-,95181017675374
GP;M;15;U;LE3;T;3;3;other;other;course;mother;1;2;0;no;no;no;yes;no;yes;yes;no;5;3;2;1;1;2;0;8;10;12;       1;-1,22925357805177;,390414829613773;,633317385333626;-,209372072960732;-,372577725554591;-,762687638306538;-,169068505146546
GP;M;16;U;GT3;T;3;2;other;other;home;mother;1;1;0;no;yes;yes;no;no;yes;yes;no;5;4;3;1;1;5;0;12;14;15;       1;-,842582980406723;-,132431475657008;1,31147520898628;-1,25357624374518;-,603726138325312;,847429117390888;-,673728426221458
GP;F;15;U;GT3;T;2;3;other;other;other;father;2;1;0;no;yes;no;yes;yes;yes;no;no;3;5;1;1;1;5;0;8;7;6;       0;-1,17399306135514;-,0985451507028275;-,328493450286642;-2,18923902716963;-1,26618778128166;,86178940034979;,232045765299309
GP;M;15;U;LE3;T;4;3;teacher;services;home;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;1;4;2;15;16;18;       1;-,563257356875353;,832291118242963;1,34764589194048;,905782357297301;-,480687766397625;,242819687677864;-,573883888930661
GP;M;16;R;GT3;A;4;4;other;teacher;reputation;mother;2;3;0;no;yes;no;yes;yes;yes;yes;yes;2;4;3;1;1;5;7;15;16;15;       1;-,178016341217643;1,38100502982689;-1,04531639082264;,606886376274916;-,626688906982075;,533021883567401;,19430045693519
GP;F;15;R;GT3;T;3;4;services;health;course;mother;1;3;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;5;2;12;12;11;       1;-,934875942262364;,875816536116708;-,166930400390438;,853857102467403;-,482579718618298;1,23518809506015;-,431578243020855
GP;F;15;R;GT3;T;2;2;at_home;other;reputation;mother;1;1;0;yes;yes;yes;yes;yes;yes;no;no;4;3;1;1;1;2;8;14;13;13;       1;-1,59471490586024;-,664492889224342;-,347325450357809;-1,60828108229756;,524084623794799;-,766071042900222;-,44309996359622
GP;F;16;U;LE3;T;2;2;other;other;home;mother;2;2;1;no;yes;no;yes;no;yes;yes;yes;3;3;3;1;2;3;25;7;10;11;       1;-,264761913510488;-,691434400040581;-,543957122485367;-,171617282237474;2,11669838270958;-,630356140306838;,39860570209048
GP;M;15;U;LE3;T;4;4;teacher;other;home;other;1;1;0;no;yes;no;no;no;yes;yes;yes;5;4;3;2;4;5;8;12;12;12;       1;,568514621202168;1,35428503475303;,884058211328259;-1,23203481530036;,364905005200039;1,21072440237231;-,393627018612459
GP;M;15;U;GT3;T;4;4;services;teacher;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;1;5;2;19;18;18;       1;-,724549031416253;1,40752650728835;,048279909106124;-,0325838915845969;-,478157877344812;,974898074675435;-,454407262964077
GP;M;15;U;GT3;T;2;2;services;services;course;father;1;1;0;yes;yes;no;no;yes;yes;yes;no;5;4;1;1;1;1;0;8;8;11;       1;-1,59896618654983;-,655694899537203;,814346911782135;-1,81048438659968;-,44495211201013;-1,44473741885378;-,408286162338431
GP;F;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1;yes;no;no;yes;yes;yes;yes;no;4;3;3;2;2;5;14;10;10;9;       0;,0716679241715702;-,603657697287438;,0671096343763563;,052408617052807;1,00442716077196;1,0006456573642;,687888370074083
GP;F;15;U;LE3;A;4;3;other;other;course;mother;1;2;0;yes;yes;yes;yes;yes;yes;yes;yes;5;2;2;1;1;5;8;8;8;6;       0;-1,3233378460577;,904048285411452;,371849203313922;,173786309687644;,782196272796773;1,34140034486095;-,0337268114656902
GP;F;16;U;LE3;A;3;3;other;services;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;3;5;1;4;3;12;11;12;11;       1;1,21762043834573;,257337214035342;-1,48089050863099;,207369802202739;,37913654039783;-,824986017873585;-1,07578941834446
GP;M;16;U;GT3;T;4;3;health;services;reputation;mother;1;4;0;no;no;no;yes;yes;yes;yes;no;4;2;2;1;1;2;4;19;19;20;       1;-,92854390236185;,844007016419014;-,53300499653315;2,2227311682111;,0783141544030113;-,717602715392839;-,137759050107445
GP;M;15;U;GT3;T;4;2;teacher;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;no;no;4;3;3;2;2;5;2;15;15;14;       1;,0821164126520776;,357855237605822;-,150307084208458;,137780273100892;-,286940211773395;1,05780355158344;-,507686454016531
GP;F;15;U;GT3;T;4;4;services;teacher;other;father;1;2;1;yes;yes;no;yes;no;yes;yes;no;4;4;4;1;1;3;2;7;7;7;       0;-,260128983708485;1,37084504201024;,647693171041248;-,181203004998398;-,74293411490414;-,712447631493552;-,724951779659623
GP;F;16;U;LE3;T;2;2;services;services;course;mother;3;2;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;2;3;4;2;12;13;13;       1;,399831616893478;-,489655738991809;-,0780536839776318;,0883486568949356;-,434059436618866;,355665697051784;2,1943429364362
GP;F;15;U;LE3;T;4;2;health;other;other;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;5;2;11;13;13;       1;-,6913551996562;,354802083527331;,105113068357723;,0722927627522494;-,346187076382765;,867665965295544;-,608715421450512
GP;M;15;U;LE3;A;4;2;health;health;other;father;2;1;1;no;no;no;no;yes;yes;no;no;5;5;5;3;4;5;6;11;11;10;       1;1,88851233070364;,393724030982083;1,73514085656235;-,965214633941041;-,149774156343042;,624704022353181;,486173828035577
GP;F;15;U;GT3;T;4;4;services;services;course;mother;1;1;0;yes;yes;yes;no;yes;yes;yes;no;3;3;4;2;3;5;0;8;10;11;       1;,711734985309329;1,41491062946843;-1,00256006486468;-,933297664173653;-,828156318686201;,910241395761585;-,581214033001245
GP;F;15;U;LE3;A;3;3;other;other;other;mother;1;1;0;no;no;yes;no;yes;yes;yes;no;5;3;4;4;4;1;6;10;13;13;       1;1,63419098792369;,409327049658303;,328128627226363;-,77676132488155;,447559676335967;-1,30264833757299;-,0198259422144997
GP;F;16;U;GT3;A;2;1;other;other;other;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;5;3;4;1;1;2;8;8;9;10;       1;-,500328253304657;-1,18383140400397;1,18367516377956;,244592910441286;,557101689021013;-1,23930881926545;-,586544510829553
GP;F;15;U;GT3;A;4;3;services;services;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;1;0;14;15;15;       1;-1,10416927883454;,871989333302144;-,211339928418434;-,305191794209057;-,527069543430757;-1,58989710739279;-,293696449166461
GP;M;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;3;2;2;1;1;5;4;14;15;15;       1;-1,08296918844992;1,41431297707729;-1,407213870338;-,0448110328231907;-,140300540535169;1,18929943870465;-,328113337619093
GP;M;15;U;LE3;T;1;2;other;at_home;home;father;1;2;0;yes;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;5;2;9;10;9;       0;-1,06702854498779;-1,15236920972944;-,169147042816274;-,205821133916711;-,354429831008771;1,17350934915979;-,647425457200923
GP;F;16;U;GT3;T;4;2;services;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;2;3;1;1;5;2;15;16;16;       1;-,825756442567557;,391189325202452;-,310089246630797;,354898218552608;-,112563487826565;1,01343595354012;-,350133467837495
GP;F;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;2;4;4;2;3;4;6;10;11;11;       1;1,1125022248098;1,30989027463401;-1,36686168517085;-,243700438900619;-,574568640644226;-,0150112829974625;-1,06746518220342
GP;F;16;U;GT3;T;1;1;services;services;course;father;4;1;0;yes;yes;no;yes;no;yes;yes;yes;5;5;5;5;5;5;6;10;8;11;       1;3,10929620976764;-1,43410832167356;1,54590832288621;-,88345178232174;-,225823353777936;,827269241646887;3,19519493966841
GP;F;16;U;LE3;T;1;2;other;services;reputation;father;1;2;0;yes;no;no;yes;yes;yes;yes;no;4;4;3;1;1;1;4;8;10;9;       0;-,624912774820183;-1,20288697889841;,426429854520635;-,426172658092094;-,353592138977669;-1,87570754160481;-,861972663132283
GP;F;16;U;GT3;T;4;3;teacher;health;home;mother;1;3;0;yes;yes;yes;yes;yes;yes;yes;no;3;4;4;2;4;4;2;10;9;9;       0;1,48265839033939;,771191314969534;-,629660791558484;1,05165135419082;-,792182175151452;,160984104030189;-,913496022639515
GP;F;15;U;LE3;T;4;3;services;services;reputation;father;1;2;0;yes;no;no;yes;yes;yes;yes;yes;4;4;4;2;4;2;0;10;10;10;       1;1,18274666817522;,815065006547054;,155628143890027;-,0311671111347496;-,763111109321311;-1,10644732090927;-,609069660612301
GP;F;16;U;LE3;T;4;3;teacher;services;course;mother;3;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;2;1;2;16;15;15;       1;-,401642404097059;1,00567797310682;1,41811230582925;-,269329584517693;-,50935490824491;-1,92465354206805;2,29861136802714
GP;M;15;U;GT3;A;4;4;other;services;reputation;mother;1;4;0;no;yes;no;yes;no;yes;yes;yes;1;3;3;5;5;3;4;13;13;12;       1;3,03126667185756;1,30646386314028;-3,50004819517015;2,11482934916398;-,637895096477825;,106483266859107;-,633489689439026
GP;F;16;U;GT3;T;3;1;services;other;course;mother;1;4;0;yes;yes;yes;no;yes;yes;yes;no;4;3;3;1;2;5;4;7;7;6;       0;-,0516131685404569;-,750163184583126;,0552231875166763;2,34655311427459;-,114630356755763;,980314973350812;-,758035415570597
GP;F;15;R;LE3;T;2;2;health;services;reputation;mother;2;2;0;yes;yes;yes;no;yes;yes;yes;no;4;1;3;1;3;4;2;8;9;8;       0;-,316905957615801;-,526357688221987;-,888331767756731;,614413755749493;,0884038333406952;,612600212156955;1,26841853780488
GP;F;15;R;LE3;T;3;1;other;other;reputation;father;2;4;0;no;yes;no;no;no;yes;yes;no;4;4;2;2;3;3;12;16;16;16;       1;,487584233456961;-,739256102314607;,19031115298962;1,84303601357044;,668040267108173;-,260399381217376;,542619010626671
GP;M;16;U;GT3;T;3;1;other;other;reputation;father;2;4;0;no;yes;yes;no;yes;yes;yes;no;4;3;2;1;1;5;0;13;15;15;       1;-,728936918909808;-,633252191896146;,0332322000332652;2,13259567218279;-,639495363874774;1,0291314131388;,695416594948801
GP;M;15;U;GT3;T;4;2;other;other;course;mother;1;4;0;no;no;no;no;yes;yes;yes;no;3;3;3;1;1;3;0;10;10;10;       1;-,285677044984734;,289664069243862;-,763204308036826;2,14805232232709;-,829291845443722;-,522723518341995;-,762462714599015
GP;F;15;R;GT3;T;1;1;other;other;reputation;mother;1;2;2;yes;yes;no;no;no;yes;yes;yes;3;3;4;2;4;5;2;8;6;5;       0;1,21932441369964;-1,71824038448817;-1,05466658813156;,281284450964578;-,468449711449672;,96121165791649;-,946381241301398
GP;M;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;no;no;5;3;2;2;2;5;2;12;12;14;       1;-,539238777466345;-,632895372071779;,481222009512559;-1,05876370357589;,0518962939148377;1,30942517056222;-,323311710570963
GP;F;16;U;GT3;T;3;3;other;services;home;mother;1;2;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;3;2;4;5;54;11;12;11;       1;,71672378916412;,137845126282189;,171763583557678;-,038769198292792;5,82814177007841;1,07523841453384;-,805040286255385
GP;M;15;U;GT3;T;4;3;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;2;3;5;6;9;9;10;       1;,397007927048273;,849413725028285;-,24682779100886;,10273565219224;,156204184828893;1,16403642983261;-,438341485431282
GP;M;15;U;GT3;T;4;0;teacher;other;course;mother;2;4;0;no;no;no;yes;yes;yes;yes;no;3;4;3;1;1;1;8;11;11;10;       1;-,134612959728615;-,749674277530234;-,104736625099007;1,88360878253967;-,0349409877353196;-2,24872677902781;,200417112414686
GP;F;16;U;GT3;T;2;2;other;other;reputation;mother;1;4;0;no;no;yes;no;yes;yes;yes;yes;5;2;3;1;3;3;0;11;11;11;       1;-,0286812106700451;-,680491791809847;,255467915019966;2,61552390348008;-,181425477804867;,0619012562030784;-,141857786415735
GP;M;17;U;GT3;T;2;1;other;other;home;mother;2;1;3;yes;yes;no;yes;yes;no;yes;no;4;5;1;1;1;3;2;8;8;10;       1;-1,29140767534951;-1,1490471867564;,576747497277524;-2,06698093970355;-,676070220389067;-,496240736081554;,333982819691807
GP;F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3;12;5;5;5;       0;-,032555496907814;,773815609599135;-1,28783295380415;-,585967572021078;,126246866551788;-,679393886131115;-1,13463452253777
GP;M;15;U;GT3;T;2;3;other;services;course;father;1;1;0;yes;yes;yes;yes;no;yes;yes;yes;3;2;2;1;3;3;2;10;12;12;       1;-,589974412865225;-,122894720749455;-1,71636627595072;-1,15766657730013;-,208599786161688;-,0261127272567249;-,339561786609073
GP;M;15;U;GT3;T;2;3;other;other;home;mother;1;3;0;yes;no;yes;no;no;yes;yes;no;5;3;2;1;2;5;4;11;10;11;       1;-,722759106298958;-,161827158619193;,601502542360294;,99269415609254;,0262499474893992;1,39278475639942;-,342198434395377
GP;F;15;U;LE3;T;3;2;services;other;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;4;4;1;1;5;10;7;6;6;       0;-,213366927564713;-,20863911680141;,802713596893482;-,0609087809114726;,278941651182802;,540426115921792;-1,04802774899695
GP;M;15;U;LE3;T;2;2;services;services;home;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;3;4;4;15;15;15;       1;-,176586258536995;-,591083411464895;,817396109233366;,132282351819982;,0494123626537539;,423918716090929;,937024933277157
GP;F;15;U;GT3;T;1;1;other;other;home;father;1;2;0;no;yes;no;yes;no;yes;yes;no;4;3;2;2;3;4;2;9;10;10;       1;,043822821030762;-1,6973753152075;-,52387066048606;-,091281954971651;-,176567994253216;,702248804821747;-,567167025744943
GP;F;15;U;GT3;T;4;4;services;services;reputation;father;2;2;2;no;no;yes;no;yes;yes;yes;yes;4;4;4;2;3;5;6;7;9;8;       0;,873265861600326;1,4325602610564;,472115640990038;-,0295030327515073;-,281227419260452;,797477338725506;,660998593534044
GP;F;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;4;1;2;2;4;8;7;6;       0;-,0564180965756251;-,676291882215921;,142593927659267;,144571790520246;-,135178249058196;-1,2112903900763;-,659537046693303
GP;F;15;U;GT3;T;4;2;other;other;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;1;4;13;14;14;       1;-,0507374562810817;,287998934994568;,715041431870982;1,19516944963148;,174848768807809;-1,56563346149783;-,258929072356554
GP;M;16;U;GT3;T;2;2;services;other;reputation;father;2;2;1;no;no;yes;yes;no;yes;yes;no;4;4;2;1;1;3;12;11;10;10;       1;-,941493949513148;-,646446682746863;,476611143481191;-,555032504347101;,566768587534336;-,492784537071973;,495667431887297
GP;M;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;1;3;3;5;5;18;8;6;7;       0;1,21585409381146;1,38476012391559;-1,33685690394337;,674252108354524;2,06873412749433;1,71908816237467;,191285960148233
GP;F;16;U;GT3;T;3;3;other;other;home;mother;1;3;0;no;yes;yes;no;yes;yes;yes;yes;4;3;3;1;3;4;0;7;7;8;       0;,0866725611199912;,322515495371925;-,192448869328383;1,13808990291094;-,623047280153049;,463131608906698;-,499162564670664
GP;F;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;0;no;no;yes;yes;yes;yes;yes;no;4;5;5;1;3;1;4;16;17;18;       1;,734740182551647;,787855151296573;1,05311681128663;-1,33676194095943;-,588263928001567;-2,35659446600102;-1,0256098483496
GP;F;16;U;LE3;T;3;1;other;other;home;father;1;2;0;yes;yes;no;no;yes;yes;no;no;3;3;3;2;3;2;4;7;6;6;       0;,517653096528239;-,720645398926526;-1,12673563533002;-,000157472868560453;-,1183396260883;-1,03723086337747;-,713090084349614
GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;1;1;0;11;10;10;       1;-,857422923648052;,454857378842671;1,00147850075432;,0391654748752129;-,406373927661742;-1,80684516209105;1,1101653270402
GP;M;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4;6;11;13;14;       1;-,0669956964921886;-,710954461607155;,340772125160196;2,39931029193165;-,0517705875311351;,13123076673611;-,804087545096083
GP;F;15;R;GT3;T;1;1;at_home;other;home;mother;2;4;1;yes;yes;yes;yes;yes;yes;yes;no;3;1;2;1;1;1;2;7;10;10;       1;-,929551094085375;-1,59729183940821;-1,7222575431712;2,41897593476218;-,115467005429786;-1,42731334437679;1,05803981499585
GP;M;16;R;GT3;T;4;3;services;other;reputation;mother;2;1;0;yes;yes;no;yes;no;yes;yes;no;3;3;3;1;1;4;2;11;15;15;       1;-,73406214658246;,975463275523544;-,684934767199522;-1,21125633537548;-,62416863492498;,013831909471332;,685859587681956
